# Configuration:
#   Braille Code: UEB
#   Generate Braille: False
#   Model: gpt-5-mini
#   API Key: OPENAI_API_KEY
#   Batch Size: 20
#   Number of Examples: 0
#   Example Braille File: RustTestData/UEB.brls
#   Example MathML File: RustTestData/UEB.mmls
#   Input Braille Dir: test_data/UEB
#   Input MathML Dir: test_data/MathML
#   Instructions: You are an expert braille translator specializing in UEB braille for mathematics and chemistry notation. The user will number the input and follow it with {braille_code} braille to be translated into MathML. Your task is to translate each sequence of UEB braille characters into valid MathML code. Remember that the MathML starts with a '<math>' tag and ends with a '</math>' tag. For each braille input, output ONLY the raw MathML string starting with <math> and ending with </math>. Every element in the MathML must be properly closed and nested. Do not include markdown formatting, explanations, or any other text. Do not include any newlines or carriage returns. Do not include any braille unicode characters in the MathML output. Add '|next-item|' between each MathML output. 
#
# 162 items. Usage info: prompt=12828, candidates=83815, total=96643, time=976182ms, TPS=11646.865119608661.2f
#

# NOT Normalized MathML
# Match | Test Input | Expected | Computed
✓ | ⠋⠐⠣⠞⠐⠜⠀⠐⠶⠀⠁⠃⠰⠔⠞ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo><mi>a</mi><msup><mi>b</mi><mi>t</mi></msup></mrow></math> | <math><mrow><mi>f</mi><mo>(</mo><mi>t</mi><mo>)</mo><mo>=</mo><mi>a</mi><msup><mi>b</mi><mi>t</mi></msup></mrow></math>
✓ | ⠛⠐⠣⠞⠐⠜⠀⠐⠶⠀⠁⠃⠰⠔⠞⠐⠖⠉ | <math><mrow><mi>g</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo><mi>a</mi><msup><mi>b</mi><mi>t</mi></msup><mo>+</mo><mi>c</mi></mrow></math> | <math><mrow><mi>g</mi><mo>(</mo><mi>t</mi><mo>)</mo><mo>=</mo><mi>a</mi><msup><mi>b</mi><mi>t</mi></msup><mo>+</mo><mi>c</mi></mrow></math>
✓ | ⠼⠁⠚ | <math><mn>10</mn></math> | <math><mn>10</mn></math>
✗ | ⠼⠃⠐⠖⠼⠉⠀⠐⠶⠀⠼⠑⠒ | <math><mrow><mn>2</mn><mo>+</mo><mn>3</mn><mo>=</mo><mn>5</mn><mtext>:</mtext></mrow></math> | <math><mrow><mn>2</mn><mo>+</mo><mn>3</mn><mo>=</mo><mn>5</mn></mrow></math>
✓ | ⠼⠃ | <math><mn>2</mn></math> | <math><mn>2</mn></math>
✗ | ⠼⠃⠐⠲⠼⠉⠀⠐⠶⠀⠼⠋⠲ | <math><mrow><mn>2</mn><mo>⋅</mo><mn>3</mn><mo>=</mo><mn>6</mn><mtext>.</mtext></mrow></math> | <math><mrow><mn>2</mn><mo>&times;</mo><mn>3</mn><mo>=</mo><mn>6</mn></mrow></math>
✗ | ⠰⠰⠰⠋⠒⠀⠠⠃⠀⠳⠕⠀⠠⠉⠂⠀⠰⠄ | <math><mrow><mi>f</mi><mo>:</mo><mi>B</mi><mo accent="false" stretchy="false">→</mo><mi>C</mi><mtext>,</mtext></mrow></math> | <math><mrow><mi>f</mi><mo>'''</mo><mi>B</mi><mo> </mo><mi>o</mi><mo> </mo><mi>C</mi><mo>.</mo></mrow></math>
✓ | ⠐⠣⠋⠐⠴⠛⠐⠜⠐⠣⠭⠐⠜⠀⠐⠶⠀⠋⠐⠣⠛⠐⠣⠭⠐⠜⠐⠜⠲ | <math><mrow><mo stretchy="false">(</mo><mi>f</mi><mo>∘</mo><mi>g</mi><mo stretchy="false">)</mo><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mi>f</mi><mo stretchy="false">(</mo><mi>g</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo stretchy="false">)</mo><mtext>.</mtext></mrow></math> | <math><mrow><mo>(</mo><mrow><mi>f</mi><mo>&#8728;</mo><mi>g</mi></mrow><mo>)</mo><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo><mi>f</mi><mo>(</mo><mi>g</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>)</mo><mo>.</mo></mrow></math>
✓ | ⠰⠛ | <math><mi>g</mi></math> | <math><mi>g</mi></math>
✓ | ⠰⠋ | <math><mi>f</mi></math> | <math><mi>f</mi></math>
✓ | ⠰⠟ | <math><mi>q</mi></math> | <math><mi>q</mi></math>
✓ | ⠰⠟⠂⠀ | <math><mrow><mi>q</mi><mtext>,</mtext></mrow></math> | <math><mrow><mi>q</mi><mo>,</mo></mrow></math>
✓ | ⠰⠏⠲ | <math><mrow><mi>p</mi><mtext>.</mtext></mrow></math> | <math><mrow><mi>p</mi><mo>.</mo></mrow></math>
✓ | ⠋⠐⠣⠭⠐⠜ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo></mrow></math> | <math><mrow><mi>f</mi><mo>(</mo><mi>x</mi><mo>)</mo></mrow></math>
✓ | ⠰⠛⠲ | <math><mrow><mi>g</mi><mtext>.</mtext></mrow></math> | <math><mrow><mi>g</mi><mo>.</mo></mrow></math>
✓ | ⠓⠐⠣⠭⠐⠜⠀⠐⠶⠀⠋⠐⠣⠭⠐⠜⠐⠖⠛⠐⠣⠭⠐⠜⠲ | <math><mrow><mi>h</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>+</mo><mi>g</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mtext>.</mtext></mrow></math> | <math><mrow><mi>h</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo><mi>f</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>+</mo><mi>g</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>.</mo></mrow></math>
✓ | ⠗⠐⠣⠭⠐⠜⠀⠐⠶⠀⠏⠐⠣⠭⠐⠜⠐⠤⠟⠐⠣⠭⠐⠜⠲ | <math><mrow><mi>r</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mi>p</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>−</mo><mi>q</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mtext>.</mtext></mrow></math> | <math><mrow><mi>r</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo><mi>p</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>&#x2212;</mo><mi>q</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>.</mo></mrow></math>
✗ | ⠗⠐⠣⠭⠐⠜⠀⠐⠶⠀⠼⠚⠦ | <math><mrow><mi>r</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mn>0</mn><mtext>?</mtext></mrow></math> | <math><mrow><mi>r</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo><mn>0</mn></mrow></math>
✗ | ⠅⠐⠣⠼⠚⠐⠜⠲ | <math><mrow><mi>k</mi><mo stretchy="false">(</mo><mn>0</mn><mo stretchy="false">)</mo><mtext>.</mtext></mrow></math> | <math><mrow><mi>k</mi><mo>(</mo><mn>0</mn><mo>)</mo></mrow></math>
✓ | ⠎⠐⠣⠼⠁⠐⠜ | <math><mrow><mi>s</mi><mo stretchy="false">(</mo><mn>1</mn><mo stretchy="false">)</mo></mrow></math> | <math><mrow><mi>s</mi><mo>(</mo><mn>1</mn><mo>)</mo></mrow></math>
✗ | ⠎⠐⠣⠭⠐⠜ | <math><mrow><mi>s</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo></mrow></math> | <math><mrow><mi>sin</mi><mo>(</mo><mi>x</mi><mo>)</mo></mrow></math>
✗ | ⠼⠉⠭⠐⠤⠼⠙⠽⠀⠐⠶⠀⠼⠛⠦ | <math><mrow><mn>3</mn><mi>x</mi><mo>−</mo><mn>4</mn><mi>y</mi><mo>=</mo><mn>7</mn><mtext>?</mtext></mrow></math> | <math><mrow><mn>3</mn><mi>x</mi><mo>-</mo><mn>4</mn><mi>y</mi><mo>=</mo><mn>7</mn></mrow></math>
✗ | ⠰⠭⠀⠐⠶⠀⠐⠤⠼⠃⠦ | <math><mrow><mi>x</mi><mo>=</mo><mo>−</mo><mn>2</mn><mtext>?</mtext></mrow></math> | <math><mrow><mi>x</mi><mo>=</mo><mo>-</mo><mn>2</mn></mrow></math>
