# Configuration:
#   Braille Code: Nemeth
#   Generate Braille: True
#   Model: gemini-3-pro-preview
#   API Key: GEMINI_PAID_API_KEY
#   Batch Size: 10
#   Number of Examples: 312
#   Example Braille File: RustTestData/Nemeth.brls
#   Example MathML File: RustTestData/Nemeth.mmls
#   Input Braille Dir: test_data/Nemeth
#   Input MathML Dir: test_data/MathML
#   Instructions: You are an expert braille translator specializing in Nemeth braille for mathematics and chemistry notation. The user will number the input and follow it with math encoded in MathML to be translated into {braille_code} braille. Your task is to translate each MathML expression into valid Nemeth braille.The output should only contain Unicode braille characters. Remember that the MathML starts with a '<math>' tag and ends with a '</math>' tag. The MathML is numbered, so you should output the braille for the corresponding number. For each MathML input, output ONLY the raw Unicode braille characters. (e.g., ⠹⠭⠬⠂⠌⠆⠼⠀⠐⠅⠀⠁⠬⠂). It is important to pay attention to generating Unicode braille spaces when needed in the braille. It is also important to pay attention when to generate the number sign indicator ⠼ and the English letter indicatorDo not include markdown formatting, explanations, or any other text.Add '|next-item|' between each braille output. 
#
# 200 items. Usage info: prompt=594980, candidates=8803, total=774215, time=221267ms, TPS=25135.408383505623.2f
#
# Match | Test Input | Expected | Computed
✓ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo><mi>a</mi><msup><mi>b</mi><mi>t</mi></msup></mrow></math> | ⠋⠷⠞⠾⠀⠨⠅⠀⠁⠃⠘⠞ | ⠋⠷⠞⠾⠀⠨⠅⠀⠁⠃⠘⠞
✗ | <math><mrow><mi>g</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo><mi>a</mi><msup><mi>b</mi><mi>t</mi></msup><mo>+</mo><mi>c</mi></mrow></math> | ⠛⠷⠞⠾⠀⠨⠅⠀⠁⠃⠘⠞⠐⠬⠉ | 2) ⠛⠷⠞⠾⠀⠨⠅⠀⠁⠃⠘⠞⠬⠉
✗ | <math><mn>10</mn></math> | ⠼⠂⠴ | 3) ⠼⠂⠴
✗ | <math><mrow><mn>2</mn><mo>+</mo><mn>3</mn><mo>=</mo><mn>5</mn><mtext>:</mtext></mrow></math> | ⠼⠆⠬⠒⠀⠨⠅⠀⠼⠢⠸⠒ | 4) ⠼⠆⠬⠒⠀⠨⠅⠀⠼⠢⠸⠒
✗ | <math><mn>2</mn></math> | ⠼⠆ | 5) ⠼⠆
✗ | <math><mrow><mn>2</mn><mo>⋅</mo><mn>3</mn><mo>=</mo><mn>6</mn><mtext>.</mtext></mrow></math> | ⠼⠆⠡⠒⠀⠨⠅⠀⠼⠖⠸⠲ | 6) ⠼⠆⠡⠒⠀⠨⠅⠀⠼⠖⠸⠲
✗ | <math><mrow><mi>f</mi><mo>:</mo><mi>B</mi><mo accent="false" stretchy="false">→</mo><mi>C</mi><mtext>,</mtext></mrow></math> | ⠰⠋⠸⠒⠀⠠⠃⠀⠫⠕⠀⠠⠉⠠ | 7) ⠰⠋⠸⠒⠀⠠⠃⠀⠫⠕⠀⠠⠉⠠
✗ | <math><mrow><mo stretchy="false">(</mo><mi>f</mi><mo>∘</mo><mi>g</mi><mo stretchy="false">)</mo><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mi>f</mi><mo stretchy="false">(</mo><mi>g</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo stretchy="false">)</mo><mtext>.</mtext></mrow></math> | ⠷⠋⠨⠡⠛⠾⠷⠭⠾⠀⠨⠅⠀⠋⠷⠛⠷⠭⠾⠾⠸⠲ | 8) ⠷⠋⠫⠉⠛⠾⠷⠭⠾⠀⠨⠅⠀⠋⠷⠛⠷⠭⠾⠾⠸⠲
✗ | <math><mi>g</mi></math> | ⠰⠛ | 9) ⠰⠛
✗ | <math><mi>f</mi></math> | ⠰⠋ | 10) ⠰⠋
✗ | <math><mi>q</mi></math> | ⠰⠟ | 1) ⠟
✗ | <math><mrow><mi>q</mi><mtext>,</mtext></mrow></math> | ⠰⠟⠠ | 2) ⠟⠠
✗ | <math><mrow><mi>p</mi><mtext>.</mtext></mrow></math> | ⠰⠏⠸⠲ | 3) ⠏⠸⠲
✗ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo></mrow></math> | ⠋⠷⠭⠾ | 4) ⠋⠷⠭⠾
✗ | <math><mrow><mi>g</mi><mtext>.</mtext></mrow></math> | ⠰⠛⠸⠲ | 5) ⠛⠸⠲
