# Configuration:
#   Braille Code: nemeth
#   Generate Braille: False
#   Model: gemini-3-pro-preview 
#   API Key: GEMINI_PAID_API_KEY
#   Batch Size: 40
#   Number of Examples: 2472
#   Example Braille File: RustTestData/Nemeth.brls
#   Example MathML File: RustTestData/Nemeth.mmls
#   Input Braille Dir: test_data/Nemeth.brls
#   Input MathML Dir: test_data/mathml.mmls
#
# 120 items. Usage info: prompt=872080, candidates=7531, total=893642, time=41733ms, TPS=5541.495153366087.2f
#

# NOT Normalized MathML
# Match | Test Input | Expected | Computed
✓ | ⠹⠂⠌⠭⠤⠆⠼⠨⠌⠹⠆⠌⠭⠼ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mstyle displaystyle="true" scriptlevel="0"><mfrac><mn>1</mn><mrow><mi>x</mi><mo>−</mo><mn>2</mn></mrow></mfrac></mstyle><mo>÷</mo><mstyle displaystyle="true" scriptlevel="0"><mfrac><mn>2</mn><mi>x</mi></mfrac></mstyle></math> | <math><mrow><mfrac><mn>1</mn><mrow><mi>x</mi><mo>−</mo><mn>2</mn></mrow></mfrac><mo>÷</mo><mfrac><mn>2</mn><mi>x</mi></mfrac></mrow></math>
✓ | ⠐⠽⠣⠸⠣⠻⠀⠨⠅⠀⠁⠬⠃⠭ | <math><mrow><mover accent="true"><mi>y</mi><mo>^</mo></mover><mo>=</mo><mi>a</mi><mo>+</mo><mi>b</mi><mi>x</mi></mrow></math> | <math><mrow><mover accent="true"><mi>y</mi><mo>^</mo></mover><mo>=</mo><mi>a</mi><mo>+</mo><mi>b</mi><mi>x</mi></mrow></math>
✓ | ⠰⠉ | <math><mi>c</mi></math> | <math><mi>c</mi></math>
✓ | ⠰⠍ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mi>m</mi></math> | <math><mi>m</mi></math>
✗ | ⠇⠕⠛⠰⠃⠀⠷⠠⠎⠾⠀⠨⠅⠀⠉⠀⠊⠋⠀⠁⠝⠙⠀⠕⠝⠇⠽⠀⠊⠋⠀⠃⠘⠉⠀⠨⠅⠀⠠⠎ | <math><mrow><msub><mi>log</mi><mi>b</mi></msub><mo stretchy="false">(</mo><mi>S</mi><mo stretchy="false">)</mo><mo>=</mo><mi>c</mi><mspace width="0.5em"></mspace><mspace width="0.5em"></mspace><mtext>if and only if</mtext><mspace width="0.5em"></mspace><mspace width="0.5em"></mspace><msup><mi>b</mi><mi>c</mi></msup><mo>=</mo><mi>S</mi></mrow></math> | <math><mrow><msub><mi>log</mi><mi>b</mi></msub><mi>S</mi><mo>=</mo><mi>c</mi><mtext> if and only if </mtext><msup><mi>b</mi><mi>c</mi></msup><mo>=</mo><mi>S</mi></mrow></math>
✗ | ⠼⠦⠴⠴⠈⠴ | <math><mtext>800%</mtext></math> | <math><mrow><mn>800</mn><mo>%</mo></mrow></math>
✓ | ⠷⠋⠡⠛⠾⠷⠤⠂⠾⠸⠲ | <math><mrow><mo stretchy="false">(</mo><mi>f</mi><mo>⋅</mo><mi>g</mi><mo stretchy="false">)</mo><mo stretchy="false">(</mo><mo>−</mo><mn>1</mn><mo stretchy="false">)</mo><mtext>.</mtext></mrow></math> | <math><mrow><mo stretchy="false">(</mo><mi>f</mi><mo>⋅</mo><mi>g</mi><mo stretchy="false">)</mo><mo stretchy="false">(</mo><mo>−</mo><mn>1</mn><mo stretchy="false">)</mo><mtext>.</mtext></mrow></math>
✓ | ⠹⠒⠌⠂⠴⠴⠼ | <math><mfrac><mn>3</mn><mn>100</mn></mfrac></math> | <math><mfrac><mn>3</mn><mn>100</mn></mfrac></math>
✗ | ⠭⠀⠨⠅⠀⠼⠂⠠⠀⠤⠤⠆⠠⠀⠁⠝⠙⠀⠼⠢⠠ | <math><mrow><mi>x</mi><mo>=</mo><mn>1</mn><mo>,</mo><mo>–</mo><mn>2</mn><mo>,</mo><mtext>and </mtext><mn>5</mn><mo>,</mo></mrow></math> | <math><mrow><mi>x</mi><mo>=</mo><mn>1</mn><mo>,</mo><mo>−</mo><mn>2</mn><mo>,</mo><mtext> and </mtext><mn>5</mn><mo>,</mo></mrow></math>
✓ | ⠼⠖⠦⠤⠴⠨⠦⠆⠆⠢⠀⠐⠅⠱⠀⠨⠍⠀⠐⠅⠱⠀⠼⠖⠦⠬⠴⠨⠦⠆⠆⠢ | <math><mrow><mn>68</mn><mo>-</mo><mn>0</mn><mo>.</mo><mn>8225</mn><mo>≤</mo><mo> </mo><mi>μ</mi><mo>≤</mo><mn>68</mn><mo>+</mo><mn>0</mn><mo>.</mo><mn>8225</mn></mrow></math> | <math><mrow><mn>68</mn><mo>−</mo><mn>0.8225</mn><mo>≤</mo><mi>μ</mi><mo>≤</mo><mn>68</mn><mo>+</mo><mn>0.8225</mn></mrow></math>
✓ | ⠨⠃ | <math><mi>β</mi></math> | <math><mi>β</mi></math>
✓ | ⠗⠀⠨⠂⠀⠼⠴⠨⠶ | <math><mrow><mi>r</mi><mo>&gt;</mo><mn>0.7</mn></mrow></math> | <math><mrow><mi>r</mi><mo>&gt;</mo><mn>0.7</mn></mrow></math>
✓ | ⠨⠎⠰⠭⠱ | <math><msub><mi>σ</mi><mover accent="true"><mi>x</mi><mo>¯</mo></mover></msub></math> | <math><msub><mi>σ</mi><mover accent="true"><mi>x</mi><mo>¯</mo></mover></msub></math>
✓ | ⠼⠆⠶⠘⠤⠹⠆⠌⠒⠼ | <math><msup><mn>27</mn><mrow><mo>−</mo><mfrac><mn>2</mn><mn>3</mn></mfrac></mrow></msup></math> | <math><msup><mn>27</mn><mrow><mo>−</mo><mfrac><mn>2</mn><mn>3</mn></mfrac></mrow></msup></math>
✓ | ⠰⠠⠞⠠ | <math><mrow><mi>T</mi><mo>,</mo></mrow></math> | <math><mrow><mi>T</mi><mo>,</mo></mrow></math>
✓ | ⠗⠀⠨⠅⠀⠼⠨⠴⠆⠶⠢⠠ | <math><mrow><mi>r</mi><mo>=</mo><mn>.0275</mn><mtext>,</mtext></mrow></math> | <math><mrow><mi>r</mi><mo>=</mo><mn>.0275</mn><mo>,</mo></mrow></math>
✓ | ⠠⠁⠷⠭⠾⠀⠨⠅⠀⠳⠭⠳⠸⠲ | <math><mrow><mi>A</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mo stretchy="false">|</mo><mi>x</mi><mo stretchy="false">|</mo><mtext>.</mtext></mrow></math> | <math><mrow><mi>A</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mo stretchy="false">|</mo><mi>x</mi><mo stretchy="false">|</mo><mtext>.</mtext></mrow></math>
✗ | ⠭⠘⠆⠸⠌⠒ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mstyle displaystyle="true" scriptlevel="0"><msup><mi>x</mi><mrow><mn>2</mn><mrow><mo>/</mo></mrow><mn>3</mn></mrow></msup></mstyle></math> | <math><mrow><msup><mi>x</mi><mn>2</mn></msup><mo>/</mo><mn>3</mn></mrow></math>
✓ | ⠼⠲⠘⠢⠐⠬⠒⠘⠆ | <math><mrow><msup><mn>4</mn><mn>5</mn></msup><mo>+</mo><msup><mn>3</mn><mn>2</mn></msup></mrow></math> | <math><mrow><msup><mn>4</mn><mn>5</mn></msup><mo>+</mo><msup><mn>3</mn><mn>2</mn></msup></mrow></math>
✓ | ⠞⠁⠝⠀⠷⠆⠨⠹⠾ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mstyle displaystyle="true" scriptlevel="0"><mi>tan</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mn>2</mn><mi>θ</mi><mo stretchy="false">)</mo></mstyle></math> | <math><mrow><mi>tan</mi><mo>⁡</mo><mo stretchy="false">(</mo><mn>2</mn><mi>θ</mi><mo stretchy="false">)</mo></mrow></math>
✓ | ⠠⠑⠠⠃⠠⠍⠀⠨⠅⠀⠵⠰⠹⠨⠁⠌⠆⠼⠐⠷⠹⠨⠎⠌⠜⠝⠻⠼⠾⠀⠨⠅⠀⠷⠂⠨⠔⠖⠾⠷⠴⠨⠢⠶⠾⠀⠨⠅⠀⠼⠂⠨⠂⠆ | <math><mrow><mi>E</mi><mi>B</mi><mi>M</mi><mo>=</mo><mtext> </mtext><msub><mi>z</mi><mfrac><mi>α</mi><mn>2</mn></mfrac></msub><mrow><mo>(</mo><mfrac><mi>σ</mi><msqrt><mi>n</mi></msqrt></mfrac><mo>)</mo></mrow><mo>=</mo><mrow><mo>(</mo><mn>1.96</mn><mo>)</mo></mrow><mrow><mo>(</mo><mn>0.57</mn><mo>)</mo></mrow><mo>=</mo><mtext> </mtext><mn>1.12</mn></mrow></math> | <math><mrow><mi>E</mi><mi>B</mi><mi>M</mi><mo>=</mo><msub><mi>z</mi><mfrac><mi>α</mi><mn>2</mn></mfrac></msub><mrow><mo>(</mo><mfrac><mi>σ</mi><msqrt><mi>n</mi></msqrt></mfrac><mo>)</mo></mrow><mo>=</mo><mrow><mo>(</mo><mn>1.96</mn><mo>)</mo></mrow><mrow><mo>(</mo><mn>0.57</mn><mo>)</mo></mrow><mo>=</mo><mn>1.12</mn></mrow></math>
✓ | ⠠⠏⠗⠊⠉⠑⠀⠕⠋⠀⠊⠞⠑⠍ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mtext>Price of item</mtext></math> | <math><mtext>Price of item</mtext></math>
✓ | ⠷⠭⠠⠀⠽⠾⠸⠲ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mo stretchy="false">(</mo><mi>x</mi><mo>,</mo><mi>y</mi><mo stretchy="false">)</mo><mtext>.</mtext></math> | <math><mrow><mo stretchy="false">(</mo><mi>x</mi><mo>,</mo><mi>y</mi><mo stretchy="false">)</mo><mtext>.</mtext></mrow></math>
✓ | ⠼⠆⠶⠨⠢ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mn>27.5</mn></math> | <math><mn>27.5</mn></math>
✗ | ⠨⠠⠎⠭ | <math><mrow><mi>Σ</mi><mi>x</mi></mrow></math> | <math><mrow><mo>∑</mo><mi>x</mi></mrow></math>
✓ | ⠋⠷⠭⠾⠀⠨⠅⠀⠼⠆⠭ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mstyle displaystyle="true" scriptlevel="0"><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mn>2</mn><mi>x</mi></mstyle></math> | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mn>2</mn><mi>x</mi></mrow></math>
✓ | ⠹⠂⠆⠌⠂⠔⠼ | <math><mfrac><mn>12</mn><mn>19</mn></mfrac></math> | <math><mfrac><mn>12</mn><mn>19</mn></mfrac></math>
✓ | ⠼⠒⠬⠑⠘⠆⠞⠀⠨⠅⠀⠼⠶⠑⠘⠆⠞⠸⠲ | <math><mrow><mn>3</mn><mo>+</mo><msup><mi>e</mi><mrow><mn>2</mn><mi>t</mi></mrow></msup><mo>=</mo><mn>7</mn><msup><mi>e</mi><mrow><mn>2</mn><mi>t</mi></mrow></msup><mo>.</mo></mrow></math> | <math><mrow><mn>3</mn><mo>+</mo><msup><mi>e</mi><mrow><mn>2</mn><mi>t</mi></mrow></msup><mo>=</mo><mn>7</mn><msup><mi>e</mi><mrow><mn>2</mn><mi>t</mi></mrow></msup><mtext>.</mtext></mrow></math>
✓ | ⠼⠆⠔⠂ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mn>291</mn></math> | <math><mn>291</mn></math>
✓ | ⠭⠘⠆ | <math><msup><mi>x</mi><mn>2</mn></msup></math> | <math><msup><mi>x</mi><mn>2</mn></msup></math>
✓ | ⠝⠂⠬⠝⠆⠤⠆ | <math><mrow><msub><mi>n</mi><mn>1</mn></msub><mo>+</mo><msub><mi>n</mi><mn>2</mn></msub><mo>−</mo><mn>2</mn></mrow></math> | <math><mrow><msub><mi>n</mi><mn>1</mn></msub><mo>+</mo><msub><mi>n</mi><mn>2</mn></msub><mo>−</mo><mn>2</mn></mrow></math>
