# Configuration:
#   Braille Code: ueb
#   Generate Braille: False
#   Model: gemini-2.5-pro 
#   API Key: GEMINI_API_KEY
#   Batch Size: 40
#   Number of Examples: 940
#   Example Braille File: RustTestData/UEB.brls
#   Example MathML File: RustTestData/UEB.mmls
#   Input Braille Dir: test_data/ueb.brls
#   Input MathML Dir: test_data/mathml.mmls
#
# 200 items. Usage info: prompt=551491, candidates=10304, total=674485, time=64968ms, TPS=6305.124223602485.2f
#

# NOT Normalized MathML
# Match | Test Input | Expected | Computed
✓ | ⠬⠰⠷⠼⠉⠭⠨⠌⠼⠙⠾⠐⠤⠼⠁⠀⠐⠶⠀⠼⠃⠭⠐⠖⠼⠊⠌⠃ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mtext> </mtext><mtext> </mtext><mtext> </mtext><mstyle displaystyle="true" scriptlevel="0"><mfrac><mrow><mn>3</mn><mi>x</mi></mrow><mn>4</mn></mfrac></mstyle><mo>−</mo><mn>1</mn><mo>=</mo><mn>2</mn><mi>x</mi><mo>+</mo><mstyle displaystyle="true" scriptlevel="0"><mfrac><mn>9</mn><mn>2</mn></mfrac></mstyle></math> | <math xmlns="http://www.w3.org/1998/Math/MathML"><mtext> </mtext><mtext> </mtext><mstyle displaystyle="true" scriptlevel="0"><mfrac><mrow><mn>3</mn><mi>x</mi></mrow><mn>4</mn></mfrac></mstyle><mo>−</mo><mn>1</mn><mo>=</mo><mn>2</mn><mi>x</mi><mo>+</mo><mstyle displaystyle="true" scriptlevel="0"><mfrac><mn>9</mn><mn>2</mn></mfrac></mstyle></math>
✗ | ⠁⠀⠐⠶⠀⠰⠰⠽⠱⠐⠤⠃⠭⠱ | <math><mrow><mi>a</mi><mo>=</mo><mover accent="true"><mi>y</mi><mo>¯</mo></mover><mo>−</mo><mi>b</mi><mover accent="true"><mi>x</mi><mo>¯</mo></mover></mrow></math> | <math><mi>a</mi><mo>=</mo><mover><mi>y</mi><mo>&bar;</mo></mover><mo>-</mo><mi>b</mi><mover><mi>x</mi><mo>&bar;</mo></mover></math>
✓ | ⠰⠉ | <math><mi>c</mi></math> | <math><mi>c</mi></math>
✓ | ⠼⠁⠚⠚ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mn>100</mn></math> | <math><mn>100</mn></math>
✗ | ⠰⠰⠐⠣⠑⠔⠼⠉⠂⠀⠼⠉⠐⠜⠂ | <math><mrow><msup><mtext>(e</mtext><mn>3</mn></msup><mo>,</mo><mn>3</mn><mo stretchy="false">)</mo><mo>,</mo></mrow></math> | <math><mrow><mo>(</mo><msup><mi>e</mi><mn>3</mn></msup><mo>,</mo><mn>3</mn><mo>)</mo></mrow><mo>,</mo></math>
✗ | ⠼⠓⠚⠚⠨⠴ | <math><mtext>800%</mtext></math> | <math><mn>800</mn><mi mathvariant="normal">%</mi></math>
✓ | ⠐⠣⠋⠐⠲⠛⠐⠜⠐⠣⠐⠤⠼⠁⠐⠜⠲ | <math><mrow><mo stretchy="false">(</mo><mi>f</mi><mo>⋅</mo><mi>g</mi><mo stretchy="false">)</mo><mo stretchy="false">(</mo><mo>−</mo><mn>1</mn><mo stretchy="false">)</mo><mtext>.</mtext></mrow></math> | <math><mrow><mo stretchy="false">(</mo><mi>f</mi><mo>⋅</mo><mi>g</mi><mo stretchy="false">)</mo><mo stretchy="false">(</mo><mo>−</mo><mn>1</mn><mo stretchy="false">)</mo><mtext>.</mtext></mrow></math>
✓ | ⠼⠉⠌⠁⠚⠚ | <math><mfrac><mn>3</mn><mn>100</mn></mfrac></math> | <math><mfrac><mn>3</mn><mn>100</mn></mfrac></math>
✓ | ⠐⠣⠭⠐⠤⠼⠉⠐⠜ | <math><mrow><mo stretchy="false">(</mo><mi>x</mi><mo>−</mo><mn>3</mn><mo stretchy="false">)</mo></mrow></math> | <math><mrow><mo>(</mo><mi>x</mi><mo>−</mo><mn>3</mn><mo>)</mo></mrow></math>
✓ | ⠼⠋⠛⠲⠁⠛⠛⠑⠀⠸⠈⠣⠀⠨⠍⠀⠸⠈⠣⠀⠼⠋⠓⠲⠓⠃⠃⠑ | <math><mrow><mn>67</mn><mo>.</mo><mn>1775</mn><mo>≤</mo><mo> </mo><mi>μ</mi><mo>≤</mo><mn>68</mn><mo>.</mo><mn>8225</mn></mrow></math> | <math><mn>67.1775</mn><mo>≤</mo><mi>μ</mi><mo>≤</mo><mn>68.8225</mn></math>
✓ | ⠉⠕⠎⠐⠣⠞⠐⠜⠀⠐⠶⠀⠼⠚⠂ | <math><mrow><mi>cos</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo><mn>0</mn><mtext>,</mtext></mrow></math> | <math><mrow><mi>cos</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo><mn>0</mn><mtext>,</mtext></mrow></math>
