id,source_file,line_number,braille,mathml,model_response,prompt_tokens,completion_tokens,response_time_seconds
1,ueb.brls,371,⠎⠰⠢⠭,<math><msub><mi>s</mi><mi>x</mi></msub></math>,⠰⠰⠎⠢⠭,22619,11,0.16
2,ueb.brls,1473,⠠⠭⠍⠁⠭⠀⠐⠶⠀⠼⠃⠚⠚⠂,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mtext>Xmax</mtext><mo>=</mo><mn>200</mn><mtext>,</mtext></math>",⠠⠭⠍⠁⠭⠀⠐⠶⠀⠼⠃⠚⠚⠂,22646,27,0.16
3,ueb.brls,1581,⠰⠭⠀⠐⠶⠀⠐⠤⠼⠁,<math><mrow><mi>x</mi><mo>=</mo><mn>−1</mn></mrow></math>,⠰⠭⠀⠐⠶⠀⠐⠤⠼⠁,22626,19,0.16
4,ueb.brls,1865,⠰⠰⠰⠩⠼⠁⠉⠑⠬⠐⠌⠩⠼⠑⠬⠀⠐⠶⠀⠷⠩⠼⠁⠉⠑⠬⠨⠌⠩⠼⠑⠬⠾⠀⠐⠶⠀⠩⠼⠁⠉⠑⠌⠑⠬⠰⠄,<math><mrow><msqrt><mn>135</mn></msqrt><mo>÷</mo><msqrt><mn>5</mn></msqrt><mo>=</mo><mfrac><msqrt><mn>135</mn></msqrt><msqrt><mn>5</mn></msqrt></mfrac><mo>=</mo><msqrt><mfrac><mn>135</mn><mn>5</mn></mfrac></msqrt></mrow></math>,⠰⠩⠼⠁⠉⠑⠬⠐⠌⠩⠼⠑⠬⠀⠐⠶⠀⠷⠩⠼⠁⠉⠑⠬⠨⠌⠩⠼⠑⠬⠾⠀⠐⠶⠀⠩⠷⠼⠁⠉⠑⠨⠌⠼⠑⠾⠬,22709,86,0.16
5,ueb.brls,896,⠗⠐⠣⠭⠐⠜⠀⠐⠶⠀⠏⠐⠣⠭⠐⠜⠐⠤⠟⠐⠣⠭⠐⠜⠲,"<math><mrow><mi>r</mi><mo stretchy=""false"">(</mo><mi>x</mi><mo stretchy=""false"">)</mo><mo>=</mo><mi>p</mi><mo stretchy=""false"">(</mo><mi>x</mi><mo stretchy=""false"">)</mo><mo>−</mo><mi>q</mi><mo stretchy=""false"">(</mo><mi>x</mi><mo stretchy=""false"">)</mo><mtext>.</mtext></mrow></math>",⠰⠰⠗⠐⠣⠭⠐⠜⠀⠐⠶⠀⠏⠐⠣⠭⠐⠜⠐⠤⠟⠐⠣⠭⠐⠜⠲,22711,53,0.16
6,ueb.brls,1014,⠇⠕⠛⠀⠰⠭,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>log</mi><mo>⁡</mo><mrow><mi>x</mi></mrow></math>",⠇⠕⠛⠐⠣⠭⠐⠜,22643,16,0.16
7,ueb.brls,111,⠰⠏,<math><mi>p</mi></math>,⠰⠏,22608,5,0.16
8,ueb.brls,2010,⠰⠠⠓⠀⠐⠶⠀⠼⠑⠭,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mstyle displaystyle=""true"" scriptlevel=""0""><mi>H</mi><mo>=</mo><mn>5</mn><mi>x</mi></mstyle></math>",⠰⠠⠓⠀⠐⠶⠀⠼⠑⠭,22655,19,0.16
9,ueb.brls,209,⠈⠎⠼⠓⠲⠑⠙⠲,<math><mrow><mtext>$8.54</mtext><mo>.</mo></mrow></math>,⠼⠓⠲⠑⠙⠲,22624,13,0.16
10,ueb.brls,1943,⠰⠃,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>b</mi></math>",⠰⠃,22624,5,0.16
