id,source_file,line_number,braille,mathml,model_response,prompt_tokens,completion_tokens,response_time_seconds
1,nemeth.brls,370,⠁⠀⠨⠂⠀⠼⠂,<math><mrow><mi>a</mi><mo>&gt;</mo><mn>1</mn></mrow></math>,"<math xmlns=""http://www.w3.org/1998/Math/MathML"">
  <mrow>
    <mi>a</mi>
    <mtext>⠨⠂</mtext>
    <mtext>⠼⠂??!???</mtext>
    <mo>−</mo>
    <mtext>(???)..??-???</mtext>
    <mtext>(This? I mean... … etc...? ;...)</mtext>
  </mrow>
</math>",90,3033,1.42
2,nemeth.brls,1472,⠷⠒⠭⠘⠒⠐⠬⠆⠭⠤⠂⠾⠬⠷⠲⠭⠘⠆⠐⠤⠆⠭⠬⠶⠾,<math><mrow><mo>(</mo><mn>3</mn><msup><mi>x</mi><mn>3</mn></msup><mo>+</mo><mn>2</mn><mi>x</mi><mo>−</mo><mn>1</mn><mo>)</mo><mo>+</mo><mo>(</mo><mn>4</mn><msup><mi>x</mi><mn>2</mn></msup><mo>−</mo><mn>2</mn><mi>x</mi><mo>+</mo><mn>7</mn><mo>)</mo></mrow></math>,"<math xmlns=""http://www.w3.org/1998/Math/MathML"">
  <mrow>
    <mtext>⠷⠒⠭⠘⠒⠐⠬⠆⠭⠤⠂⠾⠬⠷⠲⠭⠘⠆⠐⠤⠆⠭⠬⠶⠾</mtext>
    <mo>?</mo>
  </mrow>
</math>",148,1410,1.42
3,nemeth.brls,1310,⠠⠁⠀⠨⠅⠀⠠⠏⠷⠂⠬⠹⠗⠌⠝⠼⠾,"<math><mrow><mi>A</mi><mo>=</mo><mi>P</mi><mrow data-mjx-texclass=""INNER""><mo data-mjx-texclass=""OPEN"">(</mo><mn>1</mn><mo>+</mo><mfrac><mi>r</mi><mi>n</mi></mfrac><mo data-mjx-texclass=""CLOSE"">)</mo></mrow></mrow></math>","<math xmlns=""http://www.w3.org/1998/Math/MathML"">
  <mrow>
    <mi>A</mi>
    <mi>K</mi>
    <mfrac>
      <mi>P</mi>
      <mn>2</mn>
    </mfrac>
    <mo>+</mo>
    <mi>r</mi>
    <mo>·</mo>
    <mi>n</mi>
    <mn>10</mn>
  </mrow>
</math>",120,1777,1.42
4,nemeth.brls,1865,⠜⠂⠒⠢⠻⠨⠌⠜⠢⠻⠀⠨⠅⠀⠹⠜⠂⠒⠢⠻⠌⠜⠢⠻⠼⠀⠨⠅⠀⠜⠹⠂⠒⠢⠌⠢⠼⠻,<math><mrow><msqrt><mn>135</mn></msqrt><mo>÷</mo><msqrt><mn>5</mn></msqrt><mo>=</mo><mfrac><msqrt><mn>135</mn></msqrt><msqrt><mn>5</mn></msqrt></mfrac><mo>=</mo><msqrt><mfrac><mn>135</mn><mn>5</mn></mfrac></msqrt></mrow></math>,"<math xmlns=""http://www.w3.org/1998/Math/MathML"">
  <mrow>
    <msup><mi>x</mi><mn>2</mn></msup>
    <mo>+</mo>
    <msup><mi>y</mi><mn>2</mn></msup>
    <mo>=</mo>
    <msup><mi>z</mi><mn>2</mn></msup>
  </mrow>
</math>",179,2775,1.42
5,nemeth.brls,895,⠳⠹⠭⠌⠆⠼⠤⠂⠳⠀⠨⠂⠱⠀⠼⠆,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mrow data-mjx-texclass=""INNER""><mo data-mjx-texclass=""OPEN"">|</mo><mstyle displaystyle=""true"" scriptlevel=""0""><mfrac><mi>x</mi><mn>2</mn></mfrac></mstyle><mo>−</mo><mn>1</mn><mo data-mjx-texclass=""CLOSE"">|</mo></mrow><mo>≥</mo><mn>2</mn></math>","<math xmlns=""http://www.w3.org/1998/Math/MathML"">
  <mrow>
    <msqrt>
      <mrow>
        <mfrac>
          <mn>5</mn>
          <mn>6</mn>
        </mfrac>
      </mrow>
    </msqrt>
    <mo>+</mo>
    <mn>82</mn>
    <mo>≤</mo>
    <mn>6</mn>
  </mrow>
</math>",117,2689,1.42
6,nemeth.brls,1012,⠠⠁⠠⠛⠠⠙⠠⠑,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>A</mi><mi>G</mi><mi>D</mi><mi>E</mi></math>","<math xmlns=""http://www.w3.org/1998/Math/MathML""><mrow><mi>A</mi><mi>G</mi><mi>D</mi><mi>E</mi></mrow></math>",97,1054,1.42
7,nemeth.brls,111,⠰⠏,<math><mi>p</mi></math>,"math xmlns=""http://www.w3.org/1998/Math/MathML""></math>",79,1680,1.42
8,nemeth.brls,1844,⠠⠏⠄⠂⠤⠠⠏⠄⠆,<math><mrow><msub><msup><mi>P</mi><mo>′</mo></msup><mn>1</mn></msub><mo>−</mo><msub><msup><mi>P</mi><mo>′</mo></msup><mn>2</mn></msub></mrow></math>,"<math xmlns=""http://www.w3.org/1998/Math/MathML"">
  <mrow>
    <msub>
      <mi>P</mi>
      <mn>2</mn>
    </msub>
    <mo>&#x2212;</mo>
    <msub>
      <mi>P</mi>
      <mn>6</mn>
    </msub>
    <mo>&#x2212;</mo>
    <mo>⿰</mo>
  </mrow>
</math>",100,11422,1.42
9,nemeth.brls,209,⠈⠎⠦⠨⠢⠲⠸⠲,<math><mrow><mtext>$8.54</mtext><mo>.</mo></mrow></math>,"<math xmlns=""http://www.w3.org/1998/Math/MathML"">
  <mtext>⠈⠎⠦⠨⠢⠲⠸⠲?</mtext>
</math>",97,1720,1.42
10,nemeth.brls,1943,⠰⠃,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>b</mi></math>","<math xmlns=""http://www.w3.org/1998/Math/MathML"">
  <mrow>
    <mtext>⠰⠃</mtext>
  </mrow>
</math>",79,914,1.42
